A02619	A02625	GEPI	Observatoire de Paris, Laboratoire Galaxies Etoiles Physiques et Instrumentation
A02619	A02627	Dep RadAst	Observatoire de Paris, Departement de Radioastronomie
A02619	A04167	LESIA	Observatoire de Paris, Laboratoire d'Etudes Spatiales et d'Instrumentation en Astrophysique
A02619	A04168	LERMA	Laboratoire d'Etudes du Rayonnement de la Matiere en Astrophysique
A02619	A04169	LATMOS	Laboratoire Atmospheres Milieux Observations Spatiales
A02619	A11274	DARC	Observatoire de Paris, Departement d'Astrophysique Relativiste et de Cosmologie
A02619	A11275	DASOP	Observatoire de Paris, Departement d'Astronomie Solaire
A02619	A11276	DASGAL	Observatoire de Paris, Departement d'Astronomie Stellaire et Galactique
A02619	A11277	CAI	Observatoire de Paris, Centre d'Analyse des Images
A02619	A11279	DESPA	Observatoire de Paris, Departement de Recherche Spatiale
	A02629	UPJV	Universite de Picardie Jules Verne, France
	A02630	U Angers	Universite d'Angers, France
	A02631	U Artois	Universite d'Artois, France
	A02632	U Avignon	Universite d'Avignon, France
	A02633	U Tech Belfort	Universite de Technologie de Belfort-Montbeliard, France
A02633	A04871	FEMTO-ST	Franche-Comte Electronics Mechanics Thermal Science and Optics - Sciences and Technologies, France
	A02635	U Besancon	Universite de Franche-Comte, Besancon, France
A02635	A02845	UTINAM	Universe, Time-Frequency, Interfaces, Nanostructures, Atmosphere and Environment, Molecules, Besancon
A02635	A04871	FEMTO-ST	Franche-Comte Electronics Mechanics Thermal Science and Optics - Sciences and Technologies, France
	A02638	U Bordeaux II	Universite de Bordeaux II, Segalen, France
A02638	A02969	EPOC	Environnements et Paleoenvironnements Oceaniques, Talence
	A02640	U Bretagne	Universite de Bretagne, France
A02640	A03908	LDO	Laboratoire Domaines Oceaniques, Plouzane
A02640	A06367	IUEM	Institut Universitaire Europeen de la Mer, France
	A02642	U Caen	Universite de Caen, France
A02642	A04662	CIRIL	Centre Interdisciplinaire de Recherche Ions-Lasers
	A02644	U Cergy-Pontoise	Universite de Cergy-Pontoise, France
A02644	A04168	LERMA	Laboratoire d'Etudes du Rayonnement de la Matiere en Astrophysique
	A02646	U Savoie Mont-Blanc	Universite de Savoie Mont-Blanc, France
A02646	A02767	LAPTh	Laboratoire d'Annecy le Vieux de Physique Theorique
A02646	A02832	LAPP	Laboratoire d'Annecy le Vieux de Physique des Particules
A02646	A05244	ISTerre	Institute of Earth Sciences, Grenoble
	A02650	U Auvergne	Universite d'Auvergne, France
A02650	A02833	LPC	Laboratoire de Physique Corpusculaire de Clermont-Ferrand
A02650	A02888	OPGC	Observatoire de Physique du Globe de Clermont-Ferrand
	A02653	U Blaise Pascal	University of Blaise Pascal
A02653	A02833	LPC	Laboratoire de Physique Corpusculaire de Clermont-Ferrand
A02653	A02888	OPGC	Observatoire de Physique du Globe de Clermont-Ferrand
	A02656	U Tech Compiegne	University of Technology of Compiegne, France
	A02657	U Corse	Universite de Corse, France
	A02658	U Paris-Est Creteil	Universite de Paris-Est Creteil XII, France
	A02659	U Bourgogne	Universite de Bourgogne, France
	A02660	U Littoral Cote Opal	Universite du Littoral Cote d'Opal, France
A02660	A02661	LPCA	Universite du Littoral Cote d'Opal, Laboratoire de PhysicoChimie de l'Atmosphere
	A02662	U Evry	Universite d'Evry, France
	A02663	Grenoble INP	Institut Polytechnique de Grenoble, France
A02663	A02666	ENSPG	Ecole National Superieure de Physique, Grenoble
A02663	A02822	LPSC	Laboratoire de Physique Subatomique et de Cosmologie
A02663	A02854	Inst Neel	Institute Neel, Grenoble
A02663	A05239	LTHE	Laboratory for the Study of Transfers in Hydrology and Environment, Grenoble
A02663	A05245	LEGI	Laboratoire des Ecoulements Geophysiques et Industriels, Grenoble
	A02669	UJF Grenoble	Universite Joseph Fourier Grenoble, France
A02669	A02674	UFR Phy	Universite Joseph Fourier UFR de Physique
A02669	A02774	LPMMC	Laboratory of Physics and Modeling of Condensed Media, Grenoble
A02669	A02822	LPSC	Laboratoire de Physique Subatomique et de Cosmologie
A02669	A02831	LGGE	Laboratoire de Glaciologie et Geophysique de l'Environnement
A02669	A02854	Inst Neel	Institute Neel, Grenoble
A02669	A05239	LTHE	Laboratory for the Study of Transfers in Hydrology and Environment, Grenoble
A02669	A05240	IPAG	Institute de Planetologie et d'Astrophysique de Grenoble
A02669	A05244	ISTerre	Institute of Earth Sciences, Grenoble
	A02679	U Toulon	Universite de Toulon, France
A02679	A05223	CPT	Center for Theoretical Physics, Marseille
	A02681	U La Rochelle	Universite de La Rochelle, France
	A02682	U Havre	Universite du Havre, France
	A02683	U Maine Le Mans	Universite de Maine, Le Mans, France
	A02684	U Lille I	Universite de Lille I, France
	A02685	U Limoges	Universite de Limoges, France
	A02686	INSA Lyon	Institut National des Sciences Appliquees de Lyon, France
	A02687	U Paris-Est	Universite de Paris-Est Marne-la-Vallee X, France
A02687	A03872	Inst Navier	Laboratoire Navier, Paris
A02687	A11250	LISA	Laboratoire Inter Universitaires des Atmospheriques
	A02689	U Montpellier II	Universite de Montpellier II, France
A02689	A02732	Geos Montpellier	Geosciences, Montpellier
A02689	A02765	LUPM	Laboratoire Univers et Particules de Montpellier
A02689	A02772	LPTA	Laboratoire de Physique Theorique et Astroparticles, Montpellier
A02689	A02885	HydroSci Montpellier	HydroSciences Montpellier
	A02694	UPV FR	Universite Paul-Valery Montpellier III, France
A02694	A02732	Geos Montpellier	Geosciences, Montpellier
	A02696	INSA Rouen	Institut National des Sciences Appliquees de Rouen, France
	A02697	U Rouen	Universite de Rouen, France
	A02698	U Haute Alsace	Universite de Haute Alsace, France
	A02699	U Nanterre	Universite de Paris Nanterre (Paris X), France
	A02700	U Nantes	Universite de Nantes, France
A02700	A02701	Lab Plan Geod	Universite de Nantes, Laboratoire de Planetologie et de Geodynamique
A02700	A03920	IETR	Institut d'Electronique et de Telecommunications de Rennes
A02700	A05722	SUBATECH	SUBATECH Research Laboratory, France
	A02703	U Nice	Universite de Nice Sophia Antipolis, France
A02703	A02734	LPMC	Laboratoire de Physique de la Matiere Condensee, Nice
A02703	A02838	INLN	Institut Non Lineaire de Nice
A02703	A04227	LUAN	Laboratoire Universitaire d'Astrophysique de Nice
A02703	A04228	GeoAzur	GeoAzur Laboratory
A02703	A11417	ICRA	International Center for Relativistic Astrophysics
	A02708	U Orleans	Universite d'Orleans, France
A02708	A02815	ISTO	Institut des Sciences de la Terre d'Orleans
A02708	A02835	LPC2E	Laboratoire de Physique et de Chimie de l'Environnement et de l'Espace, Orleans
A02708	A05215	LPCE	Laboratoire de Physique et de Chimie de l'Environnement
	A02712	U Paris Sud	Universite Paris Sud (Paris XI), France
A02712	A02716	IDES	Universite Paris Sud, Interactions et Dynamique des Environnements de Surface
A02712	A02718	Dep Sci Terre	Universite Paris Sud, Departement des Sciences de la Terre
A02712	A02719	Supelec	Ecole Superieure d'Electricite, Gif-sur-Yvette
A02712	A02724	CSNSM	Centre de Spectrometrie Nucleaire et de Spectrometrie de Masse
A02712	A02747	PPSM	Laboratory of Supramolecular and Macromolecular Photophysics and Photochemistry
A02712	A02759	LCP	Laboratory of Physical Chemistry, Orsay
A02712	A02798	ISMO	Institut des Sciences Moleculaires d'Orsay
A02712	A02816	LIMSI	Computing Laboratory for Mechanics and Engineering Sciences, Orsay
A02712	A02817	IPNO	Institut de Physique Nucleaire d'Orsay
A02712	A02829	IAS	Institut d'Astrophysique Spatiale
A02712	A02836	LAL	Linear Accelerator Laboratory, Orsay
A02712	A02864	Synchr SOLEIL	Synchrotron SOLEIL
A02712	A02866	LAC	Laboratoire Aime Cotton, Orsay
A02712	A02867	LPGP	Laboratoire de Physique des Gaz et des Plasmas
A02712	A02869	Inst Opt Orsay	Laboratoire Charles Fabry de l'Institut d'Optique, Orsay
A02712	A03901	LMS	Laboratoire de Mecanique des Solides, Palaiseau
A02712	A11295	Dep Phy	Universite Paris Sud, Departement de Physique
A02712	A11299	IEF	Institut d'Electronique Fondamentale, Paris
	A02729	CNRS	Centre National de la Recherche Scientifique, France
A02729	A02791	Cote d'Azur	Delegation Cote d'Azur, Nice
A02729	A02792	Meudon	Centre National de la Recherche Scientifique, Meudon
A02729	A02793	Toulouse	Centre National de la Recherche Scientifique, Toulouse
A02729	A02794	Lille	Centre National de la Recherche Scientifique, Delegation du Nord
A02729	A02795	Strasbourg	Centre National de la Recherche Scientifique, Strasbourg
A02729	A02796	Rhone Auvergne	Centre National de la Recherche Scientifique, Rhone-Auvergne
A02729	A02797	Marseille	Centre National de la Recherche Scientifique, Marseille
A02729	A02819	Orleans	Centre National de la Recherche Scientifique, Orleans
A02729	A02846	Grenoble	Centre National de la Recherche Scientifique, Grenoble
A02729	A11262	Orsay	Centre National de la Recherche Scientifique, Orsay
A02729	A11268	St Maur des Fosses	Centre National de la Recherche Scientifique, Saint Maur des Fosses
	A02735	IRAM Granada	Institut de RadioAstronomie Millimetrique, Granada
	A02744	LRMH	Laboratoire de Recherche des Monuments Historiques, Paris
	A02790	IRCP Paris	Institut Recherche de Chimie, Paris
	A02802	CEMES Toulouse	Centre d'Elaboration de Materiaux et d'Etudes Structurales, Toulouse
	A02813	INSU	Institut National des Sciences de l'Univers
	A02823	IN2P3	Institut National de Physique Nucleaire et de Physique des Particules
A02823	A02817	IPNO	Institut de Physique Nucleaire d'Orsay
A02823	A06197	IJCLab	Irene et Joliot Curie Laboratory
	A02825	IRAM	Institut de RadioAstronomie Millimetrique
	A02827	LSCR	Laboratoire de Combustion et Systemes Reactifs, Orsay
	A02848	CEA Atom En Comm	Atomic Energy Commission, France
A02848	A02849	Saclay IRFU	Institut de Recherche sur les Lois Fondamentales de l'Universe
A02848	A02868	Grenoble	Atomic Energy Commission, Grenoble
A02848	A02870	Bagnols	Atomic Energy Commission, Valrho Marcoule
A02848	A02871	Ile de France	Direction des Applications Militaires, Ile-de-France
A02848	A02873	Saclay	Atomic Energy Commission, Saclay
A02848	A02872	FAR	Atomic Energy Commission, Fontenay-aux-Roses
A02848	A02850	ANDRA	National Agency for Radioactive Waste Management
A02848	A02851	Ctr Etudes Nuc	Centre d'Etudes Nucleaires de Saclay
A02848	A02874	St Paul Durance	Atomic Energy Commission, Saint Paul lez Durance
A02848	A02875	Valduc	Atomic Energy Commission, Valduc
A02848	A02876	Ripault	Atomic Energy Commission, Le Ripault
A02848	A02914	Saclay Svc Astrop	CEA Saclay, Service d'Astrophysique
A02848	A06199	LIDYL	Lasers, Interactions and Dynamics Laboratory
A02848	A11296	Saclay Svc Phy	CEA Saclay, Service de Physique
	A02852	LIST	Laboratoire d'Integration de Systemes et des Technologies, Orsay
	A02856	LPS	Laboratoire Pierre Sue, Gif Sur Yvette
	A02857	IPT	Institut de Physique Theorique, Gif Sur Yvette
	A02859	LLB	Laboratoire Leon Brillouin, Saclay
	A02863	GANIL	Grand Accelerateur National d'Ions, Caen
	A02865	CESTA	Center Centre'Etudes Scientifiques et Techniques d'Aquitaine, France
	A02877	CNAM	Conservatoire National des Arts et Metiers, Paris, France
	A02878	IRD	Institut de Recherche pour le Developpement, France
A02878	A06367	IUEM	Institut Universitaire Europeen de la Mer, France
	A02882	IRCELYON	Catalysis and Environment Research Institute, Lyon
	A02890	IRD N Caledonia	Institut de Recherche pour le Developpement, New Caledonia
	A02892	INRAE	Institut National de la Recherche pour l'Agriculture, l'Alimentation et l'Environnement, France
A02892	A02893	Fr Guyana	INRAE, Centre Antilles, French Guyana
A02892	A02894	PACA	INRAE, Centre de Provence-Alpes-Cote d'Azur, Avignon
A02892	A02895	Nantes	INRAE, Centre de Nantes
A02892	A02896	Bordeaux	INRAE, Bordeaux-Aquitaine Research Centre
A02892	A02897	Castanet Tolosan Obs	INRAE, Castanet Tolosan Observatory
A02892	A02898	Versailles	INRAE, Centre de Versailles-Grignon
A02892	A02900	Rennes	INRAE, Centre de Recherche de Rennes
A02892	A02901	Orleans	INRAE, Centre de Recherche d'Orleans
A02892	A02902	Montpellier	INRAE, Centre de Recherche de Montpellier
A02892	A02968	OASU	Observatoire Aquitain des Sciences de l'Universe, Bordeaux
A02892	A05217	CEREGE	Centre Europeen de Recherche et d'Enseignement des Geosciences de l'Environnement
	A02904	U Paris Sorbonne	Universite de Paris Sorbonne (Paris I), France
A02904	A02913	APC	Astroparticle and Cosmology Laboratory, Paris
A02904	A02923	ISTeP	Institut des Sciences de la Terre de Paris
A02904	A02926	LPSENS	Laboratoire de Physique Statistique de l'ENS
A02904	A02930	LCPMR	Laboratory of Physical Chemistry Matter and Radiation, Paris
A02904	A02954	IPGP	Institut de Physique du Globe de Paris
A02904	A04167	LESIA	Observatoire de Paris, Laboratoire d'Etudes Spatiales et d'Instrumentation en Astrophysique
A02904	A04169	LATMOS	Laboratoire Atmospheres Milieux Observations Spatiales
A02904	A06197	IJCLab	Irene et Joliot Curie Laboratory
A02904	A06364	LPENS	Laboratoire Pierre Aigrain, France
	A02912	U Paris Diderot	Universite de Paris Diderot (Paris VII), France
A02912	A02913	APC	Astroparticle and Cosmology Laboratory, Paris
A02912	A02914	Saclay Svc Astrop	CEA Saclay, Service d'Astrophysique
A02912	A02926	LPSENS	Laboratoire de Physique Statistique de l'ENS
A02912	A02934	IBPC	Institute of Physico-Chemical Biology, Paris
A02912	A02954	IPGP	Institut de Physique du Globe de Paris
A02912	A03902	LPNHE	Laboratoire de Physique Nucleaire et de Hautes Energies
A02912	A04167	LESIA	Observatoire de Paris, Laboratoire d'Etudes Spatiales et d'Instrumentation en Astrophysique
A02912	A11250	LISA	Laboratoire Inter Universitaires des Atmospheriques
A02912	A11296	Saclay Svc Phy	CEA Saclay, Service de Physique
A02912	A13077	LAREG	Research Laboratory in Geodesy, Paris
	A02920	U Paris Dauphine	Universite Paris Dauphine (Paris IX), France
	A02921	UPMC	Universite Pierre et Marie Curie (Paris VI), France
A02921	A02923	ISTeP	Institut des Sciences de la Terre de Paris
A02921	A02925	LPTENS	Laboratoire de Physique Theorique de l'ENS
A02921	A02926	LPSENS	Laboratoire de Physique Statistique de l'ENS
A02921	A02928	LPTHE	Laboratoire de Physique Theorique et Hautes Energies, Paris
A02921	A02929	LPTMC	Laboratoire de Physique Theorique de la Matiere Condensee, Paris
A02921	A02930	LCPMR	Laboratory of Physical Chemistry Matter and Radiation, Paris
A02921	A02933	LOV Villefranche	Laboratoire d'Oceanographie de Villefranche
A02921	A02934	IBPC	Institute of Physico-Chemical Biology, Paris
A02921	A02935	IHP	Institut Henri Poincare
A02921	A02936	LOMIC	Laboratoire d'Oceanologique Microbienne de Banyuls-sur-Mer
A02921	A02937	IAP Paris	Institut d'Astrophysique de Paris
A02921	A02938	Inst NanoSci	Institut des NanoSciences de Paris
A02921	A02954	IPGP	Institut de Physique du Globe de Paris
A02921	A03887	IMPMC	Institut de Mineralogie, de Physique des Materiaux et de Cosmochimie, Paris
A02921	A03913	LKB	Laboratoire Kastler Brossel, Paris
A02921	A04164	LMD	Laboratoire de Meteorologie Dynamique, Paris
A02921	A04166	LOCEAN	Laboratoire d'Oceanographie et du Climat Experimentations et Approches Numeriques, Paris
A02921	A04168	LERMA	Laboratoire d'Etudes du Rayonnement de la Matiere en Astrophysique
A02921	A11251	LPMA	Universite Pierre et Marie Curie, Laboratoire de Physique Moleculaire et Applications
A02921	A11273	LCP	Universite Pierre et Marie Curie, Laboratory of Chemical Physics
	A02940	EPHE	Ecole Pratique des Hautes Etudes, Paris, France
A02940	A02969	EPOC	Environnements et Paleoenvironnements Oceaniques, Talence
	A02942	U Pau et des Pays	Universite de Pau et des Pays, France
	A02943	U Perpignan	Universite de Perpignan, France
	A02944	U Bordeaux IV	Universite de Bordeaux IV, Pessac, France
A02944	A02969	EPOC	Environnements et Paleoenvironnements Oceaniques, Talence
A02944	A06647	ICMCB	Institut de Chimie de Matiere Condensee de Bordeaux
	A02946	U Poitiers	University of Poitiers, France
A02946	A02947	LCME	Laboratoire de Chimie et de Microbiologie de l'Eau
	A02948	U Reims	Universite de Reims, France
	A02949	U Rennes 1	Universite de Rennes 1, France
A02949	A02950	Inst Phy	Universite de Rennes 1, Institut de Physique
A02949	A02952	CAESS Geos	Universite de Rennes 1, CAESS Geosciences
A02949	A03920	IETR	Institut d'Electronique et de Telecommunications de Rennes
	A02953	U Paris St-Denis	Universite de Paris Saint-Denis VIII, France
A02953	A02954	IPGP	Institut de Physique du Globe de Paris
	A02955	Jean Monnet U	Jean Monnet University Saint Etienne, France
	A02956	U Strasbourg	Universite de Strasbourg Louis Pasteur, France
A02956	A02957	IPHC	Institut Pluridisciplinaire Hubert Curien, Strasbourg
A02956	A02958	CGS	Centre de Geochimie de la Surface, Strasbourg
A02956	A02959	IPG Strasbourg	Institut de Physique du Globe, Strasbourg
A02956	A02960	EOST Strasbourg	Ecole et Observatoire des Sciences de la Terre, Strasbourg
A02956	A11289	CDS Strasbourg	Centre de Donnees Astronomiques, Strasbourg
A02956	A11291	ENSPS	Ecole Nationale Superieure de Physique, Strasbourg
	A02962	U Bordeaux	Universite de Bordeaux, Talence, France
A02962	A02963	Obs Bordeaux	Observatoire de Bordeaux
A02962	A02964	CELIA	Centre des Lasers Intenses et Applications, Talence
A02962	A02965	Ctr Etudes Nuc	Universite de Bordeaux, Centre d'Etudes Nucleaires
A02962	A02966	LOMA	Laboratoire Ondes et Matiere l'Aquitaine, Bordeaux
A02962	A02967	CRPP	Centre de Recherche Paul Pascal, Pessac
A02962	A02968	OASU	Observatoire Aquitain des Sciences de l'Universe, Bordeaux
A02962	A02969	EPOC	Environnements et Paleoenvironnements Oceaniques, Talence
	A02970	INSA Toulouse	Institut National des Sciences Appliquees de Toulouse, France
A02970	A02980	LPS-T	Laboratoire de Physique des Solides, Toulouse
A02970	A05241	LNCMI-T	National Laboratory of Intense Magnetic Fields, Toulouse
	A02973	Toulouse INP	Institut National Polytechnique de Toulouse, France
A02973	A02987	IMFT	Institut de Mecanique des Fluides, Toulouse
A02973	A06366	IMFL	Instituts de Mecanique des Fluides, Lille
	A02975	UT2J Jean Jaures	Universite de Toulouse Jean Jaures, France
	A02976	UPS Toulouse	Universite de Toulouse Paul Sabatier, France
A02976	A02978	CESBIO	Centre d'Etudes Spatiales de la Biosphere, Toulouse
A02976	A02980	LPS-T	Laboratoire de Physique des Solides, Toulouse
A02976	A02981	Inst Math	Institut de Mathematiques de Toulouse
A02976	A02984	LCPQ	Laboratoire de Chimie et Physique Quantique, Toulouse
A02976	A02985	IRSAMC	Institut de Recherche sur les Systemes Atomiques et Moleculaires Complexes, Toulouse
A02976	A02987	IMFT	Institut de Mecanique des Fluides, Toulouse
A02976	A04660	IRAP	L'Institut de Recherche en Astrophysique et Planetologie
A02976	A04661	LEGOS	Observatoire Mid Pyrenees, LEGOS, Laboratoire d'Etudes en Geophysique et Oceanographie Spatiales
A02976	A04663	GET Toulouse	Geosciences Environnement Toulouse
A02976	A05218	Ctr Ocgy Marseille	Centre d'Oceanologie de Marseille
A02976	A05241	LNCMI-T	National Laboratory of Intense Magnetic Fields, Toulouse
A02976	A06179	Lab d'Aero	Laboratoire d'Aerologie
A02976	A06366	IMFL	Instituts de Mecanique des Fluides, Lille
A02976	A06641	L2IT	Laboratoire des 2 Infinis, Toulouse
	A02988	U Tours	Universite Francois Rabelais, Tours, France
A02988	A02989	LMPT	Laboratoire de Mathematiques et Physique Theorique
	A02990	U Valenciennes	Universite de Valenciennes, France
	A02991	UVSQ	Universite Versailles Saint-Quentin-en-Yvelines, France
A02991	A04169	LATMOS	Laboratoire Atmospheres Milieux Observations Spatiales
A02991	A06640	GEMaC	Groupe d'Etude de la Matiere Condensee, Versailles
A02991	A11256	CETP Obs St Maur	CETP, Observatoire de Saint Maur
	A02993	U Paris Nord XIII	Universite de Paris Nord XIII, France
A02993	A02994	LSPM	Laboratoire des Sciences des Procedes et des Materiaux
	A02995	INSERM	Institut National Sante et Recherche Medical, France
	A02996	Karolinska Inst	Karolinska Institutet, Stockholm, Sweden
	A02997	U Duisburg	University of Duisburg Essen, Germany
	A02998	U Basel	University of Basel, Switzerland
A02998	A02999	Dep Phy Ast	University of Basel, Department of Physics and Astronomy
	A03000	U Bern	University of Bern, Switzerland
A03000	A03001	Phy Inst	University of Bern, Physics Institute
A03000	A11287	Ast Inst	University of Bern, Astronomical Institute
	A03002	U Fribourg	University of Fribourg, Switzerland
	A03003	U Geneva	University of Geneva, Switzerland
A03003	A03004	Data Ctr Astrop	University of Geneva, Data Center for Astrophysics
A03003	A03005	Phy Sec	University of Geneva, Physics Section
A03003	A03006	Ast Obs	University of Geneva, Astronomical Observatory
A03003	A11267	ISDC	Integral Science Data Center
	A03007	U Lausanne	University of Lausanne, Switzerland
A03007	A03008	Inst Ear Sci	University of Lausanne, Institute of Earth Sciences
A03007	A13063	Inst Phy	University of Lausanne, Institute of Physics
A03007	A13064	IoA	University of Lausanne, Institute of Astronomy
	A03009	U Neuchatel	University of Neuchatel, Switzerland
	A03010	U Lugano	University of Lugano, Switzerland
	A03011	U Zurich	University of Zurich, Switzerland
A03011	A11293	Inst Phy	University of Zurich, Institute of Physics
	A03012	EPFL	Ecole Polytechnique Federale de Lausanne
A03012	A03013	Sec Phy	Ecole Polytechnique Federale de Lausanne, Section de Physique
A03012	A11266	Lab Astrop	Ecole Polytechnique Federale de Lausanne, Laboratoire d'Astrophysique
	A03014	ETH Zurich	Eidgenossische Technische Hochschule, Zurich, Switzerland
A03014	A03015	Dep Ear Sci	ETH Zurich, Department of Earth Sciences
A03014	A03016	PSI CH	Paul Scherrer Institute, Switzerland
A03014	A03017	Inst Ast	ETH Zurich, Institute of Astronomy
A03014	A03018	Dep Phy	ETH Zurich, Department of Physics
A03014	A11292	Inst Geop	ETH Zurich, Institute of Geophysics
A03014	A13076	SED	ETH Zurich, Swiss Seismological Service
	A03019	TU Graz	Technical University of Graz, Austria
	A03020	U Innsbruck	Leopald Franzens University of Innsbruck, Austria
A03020	A03021	Inst Theo Phy	University of Innsbruck, Institute of Theoretical Physics
A03020	A11354	Inst Astrop	University of Innsbruck, Institute of Astrophysics
	A03022	Alpen Adria U	Alpen Adria University, Austria
	A03023	U Salzburg	University of Salzburg, Austria
	A03024	U Vienna	University of Vienna, Austria
A03024	A03025	Dep Phy	University of Vienna, Department of Physics
A03024	A03026	Dep Met Geop	University of Vienna, Department of Meteorology and Geophysics
A03024	A11353	Dep Ast	University of Vienna, Department of Astronomy
	A03027	TU Vienna	Technical University of Vienna, Austria
A03027	A03028	Dep Phy	Technical University of Vienna, Department of Physics
	A03029	JKU Linz	Johannes Kepler University, Linz, Austria
	A03030	KFU Graz	Karl Franzens University of Graz, Austria
A03030	A03031	Inst Ear Sci	KF University of Graz, Institute of Earth Sciences
A03030	A03032	IGAM	KF University of Graz, Institute of Geophysics, Astrophysics and Meteorology
A03030	A03033	Inst Phy	KF University of Graz, Institute of Physics
	A03034	U Leoben	University of Leoben, Austria
	A03035	BOKU	University of Natural Resources and Life Sciences, Vienna, Austria
	A03036	Med U Innsbruck	Medical University of Innsbruck, Austria
	A03037	Black Hills St U	Black Hills State University, South Dakota
	A03038	Leibniz Inst	Leibniz Association, Berlin, Germany
A03038	A03039	AEI	Albert Einstein Institute, Hannover
A03038	A03040	Potsdam	Leibniz Institute for Astrophysics, Potsdam
A03038	A03041	Frankfurt	Leibniz Institute for Semiconductor Physics, Frankfurt
A03038	A03042	Dortmund	Leibniz Institute for Analytical Sciences, Dortmund
A03038	A03043	INP	Leibniz Institute Nonthermal Plasmaphysics, Greifswald
A03038	A03044	KIS	Kiepenheuer Institute for Solar Physics, Freiburg
A03038	A03045	LIAG	Leibniz Institute for Applied Geosciences, Hannover
A03038	A03046	Atm Phy	Leibniz Institute for Atmospheric Physics
A03038	A03047	Baltic Sea Res	Leibniz Institute for Baltic Sea Research
A03038	A03048	IFW	Leibniz Institute for Solid State and Materials Research, Dresden
A03038	A03049	IOM	Leibniz Institute for Surface Modification, Leipzig
A03038	A03050	TROPOS	Leibniz Institute for Tropospheric Research, Leipzig
A03038	A03051	Inst Mar Res	Institute for Marine Research, Kiel
A03038	A03052	PDI	Paul Drude Institute for Solid State Electronics, Berlin
A03038	A03053	IPHT	Leibniz Institute of Photonic Technology, Jena
A03038	A03054	MNH Berlin	Museum of Natural History, Berlin
A03038	A03055	ISAS Berlin	Leibniz Institute for Analytical Sciences, Berlin
A03038	A06183	PIK Potsdam	Potsdam Institute for Climate Impact Research
	A03056	IPN	National Polytechnic Institute, Mexico
A03056	A03057	ESFM IPN	Superior School of Physics and Mathematics of the National Polytechnic Institute
A03056	A03058	CINVESTAV IPN	Center for Research and Advanced Studies of the National Polytechnic Institute
	A03059	ITA MX	Aguascalientes Institute of Technology, Mexico
	A03060	ITSON	Technical Institute of Sonora, Mexico
	A03061	ITESM	Institute of Technology and Higher Education, Mexico
	A03062	UABC	Autonomous University of Baja California, Mexico
	A03063	UNACH	Autonomous University of Chiapas, Mexico
	A03064	UAHC	Autonomous University of Chihuahua, Mexico
	A03065	UACJ	Autonomous University of Ciudad Juarez, Mexico
	A03066	UAdeC	Autonomous University of Coahuila, Mexico
	A03067	UAGro	Autonomous University of Guerrero, Mexico
	A03068	UANL	Autonomous University of Nuevo Leon, Mexico
	A03069	UAQ	Autonomous University of Queretaro, Mexico
A03069	A03070	CIIDET	Centro Interdisciplinario de Investigacion y Docencia en Educacion Tecnica
	A03071	UASLP	Autonomous University of San Luis Potosi, Mexico
	A03072	UAS	Autonomous University of Sinaloa, Mexico
	A03073	UADY	Autonomous University of Yucatan, Mexico
	A03074	UAZ	Autonomous University of Zacatecas, Mexico
	A03075	UNACAR	Autonomous University of Carmen, Mexico
	A03076	UAEH	Autonomous University of the State of Hidalgo, Mexico
	A03077	UAEMex	Autonomous University of the State of Mexico, Toluca
	A03078	UAEM	Autonomous University of the State of Morelos, Mexico
	A03079	UAM MX	Metropolitan Autonomous University, Mexico
A03079	A03080	Cuajimalpa	UAM, Metropolitan Autonomous University, Cuajimalpa
A03079	A03081	Azcapotzalco	UAM, National Autonomous University of Mexico, Azcapotzalco
A03079	A03082	Iztapalapa	UAM, National Autonomous University of Mexico, Iztapalapa
	A03083	U Colima	University of Colima, Mexico
A03083	A06233	Dual C-P IHEP	Dual C-P Institute of High Energy Physics
	A03084	U Guadalajara	University of Guadalajara, Mexico
	A03085	UDLAP	University of the Americas Puebla, Mexico
	A03086	U Monterrey	University of Monterrey, Mexico
	A03087	U Quintana Roo	University of Quintana Roo, Mexico
	A03088	U Sonora	University of Sonora, Mexico
	A03089	Valle Mex U	Valle de Mexico University, Mexico
	A03090	IBERO U	Ibero American University, Mexico
	A03091	UJAT	University Juarez Autonoma de Tabasco, Mexico
	A03092	UMSNH	University Michoacana of San Nicolas of Hidalgo, Mexico
A03092	A03093	Inst Phy Math	University Michoacana of San Nicolas of Hidalgo, Institute of Physics and Mathematics
	A03094	TU Mixteca	Technological University of the Mixteca, Mexico
	A03095	Veracruzana U	Veracruzana University, Mexico
	A03096	EPN Ecuador	National Polytechnic School, Ecuador
	A03097	PUCE Ecuador	Pontifical Catholic University of Ecuador
	A03098	USFQ Ecuador	University of Quito, Ecuador
	A03099	U Costa Rica	University of Costa Rica
	A03100	UNA Costa Rica	National University of Costa Rica
	A03101	Costa Rican ICE	Costa Rican Electricity Institute
	A03102	U Antonio Narino	Universidad Antonio Narino, Colombia
	A03103	U Auton Occ	Universidad Autonoma de Occidente, Colombia
	A03104	U Antioquia	University of Antioquia, Colombia
	A03105	U Caldas	University of Caldas, Colombia
	A03106	U Andes CO	University of the Andes, Colombia
	A03107	U Medellin	University of Medellin, Colombia
	A03108	U Narino	University of Narino, Colombia
	A03109	U Atl	University of the Atlantic, Colombia
	A03110	U Del Cauca	Universidad del Cauca, Colombia
	A03111	U Valley	University of the Valley, Colombia
